name,address,categories,latitude,longitude
"Noodles & Company (1020 Hwy 96 E)","1020 Hwy 96 E, Vadnais Heights, MN 55127","$,Healthy,Pasta,American,Italian,Comfort Food,Chinese,Noodles,Family Meals",45.0784988,-93.0659027
"Vi-Ann Restaurant","1020 Notre Dame Ave, Winnipeg, Manitoba R3E0N5","Thai,Asian,Noodles,Local Eats",49.9054985,-97.1812973
"Five Guys MT-1810 1020 Shiloh Crossing Blvd","1020 Shiloh Crossing Blvd, Billings, MT 59102","American,Burgers",45.7504997,-108.6250000
"Jersey Mike’s Subs (1020 Shiloh Crossing Blvd)","1020 Shiloh Crossing Blvd, Billings, MT 59102","Sandwich,American",45.7504997,-108.6250000
"KFC (1020 Winneconne Avenue)","1020 Winneconne Avenue, Neenah, WI 54956","American,Fast Food,wings,Family Meals,Family Friendly",44.1769981,-88.4925003
"Qdoba Mexican Grill (1020 Woodland Ave,)","1020 Woodland Ave,, Duluth, MN 55803","Mexican,Family Meals",46.8176003,-92.0861969
"Chipotle Mexican Grill (1021 Pearson Drive)","1021 Pearson Drive, Hudson, WI 54016","Healthy,Mexican",44.9594002,-92.7295990
"Five Guys MN-1553 1021 Red Fox Rd","1021 Red Fox Rd, Shoreview, MN","$,American,Burgers",45.0581017,-93.1520004
"Leeann Chin (1021 Red Fox Road)","1021 Red Fox Road, Shoreview, MN 55126","Chinese,Fast Food,Asian,Noodles,Chicken,Asian Fusion,Thai",45.0581017,-93.1520004
"NZ's Bar & Grill (1022 Michigan Ave)","1022 Michigan Ave, Sheboygan, WI 53081","American,Burgers,Sandwiches",43.7588005,-87.7259979
"Soup and Such (Shiloh Crossing)","1025 Shiloh Crossing Blvd, Billings, MT 59102","Salads,American,Healthy,Local Eats",45.7507019,-108.6220016
"Taco Bell (1026 Grand Ave)","1026 Grand Ave, Billings, MT 59102","Burritos,Fast Food,Mexican",45.7836990,-108.5510025
"Starbucks (14th & Erie)","1026 North 14th Street, Sheboygan, WI 53081","Bakery,Breakfast and Brunch,Cafe,Coffee & Tea",43.7560997,-87.7322006
"McDonald's® (Baltimore & 103rd Ave)","10270 Baltimore St Ne, Blaine, Mn 55449, Usa,","American,Burgers,Fast Food",45.1565018,-93.2431030
Sapporo,"1028 Pearson Drive, Hudson, WI 54016","Sushi,Asian,Japanese",44.9590988,-92.7282028
"Sarpino's Pizzeria (1028 S Washington Ave)","1028 S Washington Ave, Minneapolis, MN","$,Pizza,Italian",44.9757996,-93.2621994
"Taco Bell (1031 West Central Entrance)","1031 West Central Entrance, Duluth, MN 55811","Burritos,Fast Food,Mexican",46.8041000,-92.1604004
"Arby's (10320 Baltimore St Ne)","10320 Baltimore St Ne, Blaine, MN 55449","$,American,Sandwich,Fast Food,Kids Friendly",45.1577988,-93.2428970
"Noodles & Company (10340 Baltimore St, Ste 180)","10340 Baltimore St Ste 180, Blaine, MN 55449","$,American,Italian,Healthy,Comfort Food,Pasta,Chinese,Noodles,Family Meals",45.1586990,-93.2429962
"Jersey Mike's (10340 Baltimore Street N.E.)","10340 Baltimore Street N.E., Blaine, MN 55449","$,Sandwich,American",45.1586990,-93.2429962
"Green Tea Noodle & Oriental Cuisine","1035 Main Street, Stevens Point, WI 54481","Chinese,Asian,Asian Fusion",44.5231018,-89.5927963
"Donut Connection","1037 1st Ave E, Shakopee, Mn 55379, Usa,","Bakery,Coffee and Tea,Local Eats",44.8005981,-93.5218964
"Dunkin' (104 West Central Entrance)","104 West Central Entrance, Duluth, MN 55810","Breakfast and Brunch,Donuts",46.8002014,-92.1445007
"Chipotle Mexican Grill (1040 Nicollet Mall)","1040 Nicollet Mall, Minneapolis, MN 55403","$,Healthy,Mexican",44.9735985,-93.2841034
"Perkins Restaurant & Bakery (1040 Pearson Drive)","1040 Pearson Drive, Hudson, WI 54016","Breakfast and Brunch,American,Dinner,Bakery",44.9585991,-92.7281036
"Caribou Coffee (10400 Baltimore Street, Suite B-124)","10400 Baltimore Street , Suite B-124, Blaine, MN 55449",NULL,45.1599998,-93.2429962
"Papillon's Pizza","1041 Grand Avenue, Rothschild, WI 54474","Pizza,American,Italian",44.8982010,-89.6227036
"Papillon's Pizza","1041 Grand Avenue, Rothschild, WI 54474","Pizza,American,Italian",44.8978004,-89.6222992
"Panda Tea (McPhillips St)","1041 Mcphillips St, Winnipeg, MB R2X 2K6","Asian,Desserts,Juice and Smoothies,Local Eats",49.9333992,-97.1734009
"Dairy Queen - Grill & Chill (1045 Grand Ave)","1045 Grand Ave, Billings, MT 59102","American,Fast Food,Ice Cream & Frozen Yogurt,Salads,Healthy",45.7844009,-108.5520020
"Food Trip Kitchen","1045 St James Street, Winnipeg, Manitoba R3H 0K6","South East Asian,Seafood,Chicken,Filipino,Local Eats",49.8950996,-97.2071991
"Chipotle Mexican Grill (10450 Baltimore St Ne Ste 100)","10450 Baltimore St Ne Ste 100, Blaine, MN 55449","$,Healthy,Mexican",45.1604004,-93.2425003
"McDonald's® (1046 GRAND AVE)","1046 Grand Ave, Billings, MT 59102","American,Burgers,Fast Food",45.7836990,-108.5510025
"Burrito Splendido (1046 henderson-)","1046 Henderson Highway, Winnipeg, NAMER R2K 2M5","Latin American,New Mexican,Local Eats",49.9365997,-97.1046982
"Subway (105 W Northland Ave)","105 W Northland Ave, Appleton, WI 54911","Fast Food,Sandwich,American",44.2867012,-88.4151993
"Little Caesars (Henderson Hwy)","1050 Henderson Hwy, Winnipeg, MB R3K 2M5","Fast Food,Pizza",49.9365005,-97.1045990
"Subway (1050 Midway Rd)","1050 Midway Rd, Menasha, WI 54952","Fast Food,Sandwich,American",44.2304001,-88.4369965
"Pizza Ranch (1051 S. Washburn Street)","1051 S. Washburn Street, Oshkosh, WI 54904","Fried Chicken,pizza",44.0093002,-88.5930023
"Mugshots Coffee Company","10518 France Avenue South, Bloomington, MN 55431","$,Coffee and Tea,American,Breakfast and Brunch,Local Eats",44.8133011,-93.3388977
